alpha,fold,mean_capture,overall_capture,realized_eur,perfect_eur,idle_threshold
0.0,0,0.8453,0.8459,120171.51,142069.4,0.0
0.0,1,0.8929,0.8937,134407.24,150392.17,0.0
0.0,2,0.9165,0.924,119878.54,129737.59,45.79363846951252
0.0,3,0.8324,0.8279,134746.1,162748.36,0.0
0.0,4,0.8502,0.8496,39234.38,46181.32,17.05980936475697
0.1,0,0.8632,0.8652,122924.92,142069.4,0.0
0.1,1,0.8936,0.8945,134528.92,150392.17,0.0
0.1,2,0.9167,0.9241,119893.99,129737.59,45.79363846951252
0.1,3,0.83,0.8253,134314.39,162748.36,0.0
0.1,4,0.8497,0.8489,39204.95,46181.32,17.05980936475697
0.2,0,0.8624,0.8643,122786.76,142069.4,0.0
0.2,1,0.8936,0.8945,134528.92,150392.17,0.0
0.2,2,0.9174,0.9249,119993.0,129737.59,45.79363846951252
0.2,3,0.83,0.8253,134314.39,162748.36,0.0
0.2,4,0.8497,0.8489,39204.95,46181.32,17.05980936475697
0.3,0,0.86,0.8611,122338.03,142069.4,0.0
0.3,1,0.8936,0.8945,134528.92,150392.17,0.0
0.3,2,0.9176,0.925,120013.23,129737.59,45.79363846951252
0.3,3,0.8304,0.8258,134391.71,162748.36,0.0
0.3,4,0.8497,0.8489,39204.95,46181.32,17.05980936475697
0.4,0,0.8544,0.8554,121531.84,142069.4,0.0
0.4,1,0.8938,0.8947,134552.86,150392.17,0.0
0.4,2,0.9107,0.9177,119063.18,129737.59,45.79363846951252
0.4,3,0.8281,0.8231,133953.39,162748.36,0.0
0.4,4,0.8497,0.8489,39204.95,46181.32,17.05980936475697
0.5,0,0.8471,0.8491,120627.84,142069.4,0.0
0.5,1,0.8933,0.8941,134469.4,150392.17,0.0
0.5,2,0.9107,0.9177,119063.18,129737.59,45.79363846951252
0.5,3,0.8284,0.8234,134004.71,162748.36,0.0
0.5,4,0.8497,0.8489,39204.95,46181.32,17.05980936475697
0.6,0,0.8379,0.8396,119285.74,142069.4,0.0
0.6,1,0.8929,0.8938,134425.29,150392.17,0.0
0.6,2,0.9107,0.9177,119063.18,129737.59,45.79363846951252
0.6,3,0.8286,0.8236,134036.1,162748.36,0.0
0.6,4,0.8497,0.8489,39204.95,46181.32,17.05980936475697
0.7,0,0.8294,0.8312,118085.98,142069.4,0.0
0.7,1,0.8922,0.893,134300.79,150392.17,0.0
0.7,2,0.9107,0.9177,119063.18,129737.59,45.79363846951252
0.7,3,0.8292,0.8242,134131.96,162748.36,0.0
0.7,4,0.8497,0.8489,39204.95,46181.32,17.05980936475697
0.8,0,0.8241,0.8271,117510.34,142069.4,0.0
0.8,1,0.8922,0.893,134300.79,150392.17,0.0
0.8,2,0.9107,0.9177,119063.18,129737.59,45.79363846951252
0.8,3,0.8302,0.8253,134315.86,162748.36,0.0
0.8,4,0.8497,0.8489,39204.95,46181.32,17.05980936475697
0.9,0,0.8236,0.8266,117432.31,142069.4,0.0
0.9,1,0.892,0.8927,134262.58,150392.17,0.0
0.9,2,0.9103,0.9174,119022.26,129737.59,45.79363846951252
0.9,3,0.8327,0.828,134752.51,162748.36,0.0
0.9,4,0.8497,0.8489,39204.95,46181.32,17.05980936475697
1.0,0,0.8214,0.8242,117090.43,142069.4,0.0
1.0,1,0.892,0.8927,134262.58,150392.17,0.0
1.0,2,0.9101,0.9172,119000.45,129737.59,45.79363846951252
1.0,3,0.8327,0.828,134758.34,162748.36,0.0
1.0,4,0.7823,0.7757,35823.45,46181.32,17.05980936475697
