date,perfect_eur,realized_eur,capture_ratio,idle_mtus
2026-04-01,17201.55,14393.25,0.84,0
2026-04-02,14312.35,13305.34,0.93,0
2026-04-03,18300.24,12862.69,0.7,0
2026-04-04,20448.0,18567.75,0.91,0
2026-04-05,21938.03,17391.15,0.79,0
2026-04-06,26088.61,22608.74,0.87,0
2026-04-07,23780.63,22368.84,0.94,0
2026-04-08,22642.02,21871.16,0.97,0
2026-04-09,23386.96,21978.23,0.94,0
2026-04-10,22251.28,20498.09,0.92,0
2026-04-11,22192.98,19750.6,0.89,0
2026-04-12,18857.72,17717.66,0.94,0
2026-04-13,19952.1,17542.8,0.88,0
2026-04-14,21109.12,15104.7,0.72,0
2026-04-15,14316.65,10627.43,0.74,0
2026-04-16,21220.91,19777.35,0.93,0
2026-04-17,18772.94,17506.52,0.93,0
2026-04-18,17732.37,17139.1,0.97,0
2026-04-19,18760.75,18104.14,0.97,0
2026-04-20,19825.22,18873.01,0.95,0
2026-04-21,19108.75,18245.75,0.95,0
2026-04-22,27579.41,17138.95,0.62,2
2026-04-23,24555.23,21571.29,0.88,5
2026-04-24,25089.94,22808.63,0.91,14
2026-04-25,24630.94,21746.03,0.88,14
2026-04-26,20551.9,16319.87,0.79,15
2026-04-27,21129.57,18347.86,0.87,5
2026-04-28,19211.37,15499.22,0.81,2
2026-04-29,25106.52,20842.27,0.83,0
2026-04-30,21074.81,18982.34,0.9,0
