date,perfect_eur,realized_eur,capture_ratio,idle_mtus,used_mpc
2026-04-01,17201.5485,14269.8862,0.8296,0,True
2026-04-02,14312.3452,12013.7599,0.8394,0,True
2026-04-03,18300.2359,13126.8924,0.7173,0,True
2026-04-04,20448.0008,18030.5437,0.8818,0,True
2026-04-05,21938.0346,15364.3694,0.7004,0,True
2026-04-06,26088.605,21727.5806,0.8328,0,True
2026-04-07,23780.6261,22557.4025,0.9486,0,False
2026-04-08,22642.0159,22042.6303,0.9735,0,True
2026-04-09,23386.9585,21775.6582,0.9311,0,True
2026-04-10,22251.2805,20397.5867,0.9167,0,True
2026-04-11,22192.9781,19186.2676,0.8645,0,True
2026-04-12,18857.7162,17423.155,0.9239,0,True
2026-04-13,19952.0988,18249.4151,0.9147,0,True
2026-04-14,21109.1217,15187.8693,0.7195,0,False
2026-04-15,14316.6513,10121.0696,0.7069,0,True
2026-04-16,21220.9081,20048.6513,0.9448,0,True
2026-04-17,18772.9392,17495.3675,0.9319,0,True
2026-04-18,17732.3699,17319.2097,0.9767,0,True
2026-04-19,18760.7521,17855.6155,0.9518,0,True
2026-04-20,19825.2223,17903.9354,0.9031,0,True
2026-04-21,19108.7517,18256.6054,0.9554,0,False
2026-04-22,27579.4107,17046.3564,0.6181,0,True
2026-04-23,24555.2254,21655.7752,0.8819,0,True
2026-04-24,25089.9433,22253.3173,0.8869,0,True
2026-04-25,24630.9395,21909.7684,0.8895,0,True
2026-04-26,20551.8972,17647.1811,0.8587,0,True
2026-04-27,21129.572,18737.3166,0.8868,0,True
2026-04-28,19211.3714,15508.6252,0.8073,0,False
2026-04-29,25106.5156,17744.316,0.7068,0,True
2026-04-30,21074.8073,18001.4828,0.8542,0,False
